Running...
Motion detected
         19638 function calls (19627 primitive calls) in 12.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 mmal.py:509(MMAL_PARAMETER_EXIF_T)
        1    0.001    0.001    0.001    0.001 os.py:35(_get_exports_list)
        1    0.001    0.001    0.001    0.001 __init__.py:49(normalize_encoding)
        2    0.001    0.000    0.699    0.349 camera.py:218(__init__)
        2    0.001    0.000    0.001    0.000 encoders.py:129(_create_pool)
        8    0.001    0.000    0.006    0.001 abc.py:105(register)
        1    0.001    0.001    0.004    0.004 __init__.py:71(search_function)
        3    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        2    0.001    0.000    0.009    0.004 ImageFile.py:72(__init__)
        1    0.001    0.001    0.001    0.001 mmal.py:239(MMAL_BUFFER_HEADER_VIDEO_SPECIFIC_T)
       52    0.001    0.000    0.001    0.000 camera.py:1053(closed)
       38    0.001    0.000    0.001    0.000 {getattr}
       26    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
        1    0.001    0.001    0.001    0.001 mmal.py:1154(MMAL_PARAMETER_VIDEO_PROFILE_T)
        1    0.000    0.000    0.000    0.000 mmal.py:769(MMAL_PARAMETER_FACE_TRACK_FACE_T)
       13    0.000    0.000    0.002    0.000 {all}
        1    0.000    0.000    0.000    0.000 mmal.py:614(MMAL_PARAMETER_IMAGEFX_PARAMETERS_T)
       86    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 mmal.py:869(MMAL_PARAMETER_FOCUS_REGIONS_T)
        1    0.000    0.000    0.000    0.000 mmal.py:778(MMAL_PARAMETER_FACE_TRACK_RESULTS_T)
        1    0.000    0.000    0.001    0.001 <string>:1(<module>)
        3    0.000    0.000    0.006    0.002 sre_parse.py:663(parse)
        3    0.000    0.000    0.010    0.003 re.py:226(_compile)
        1    0.000    0.000    0.001    0.001 FixTk.py:1(<module>)
        2    0.000    0.000    0.001    0.000 encoders.py:204(_open_output)
       16    0.000    0.000    0.001    0.000 _weakrefset.py:81(add)
        3    0.000    0.000    0.009    0.003 sre_compile.py:495(compile)
    28/17    0.000    0.000    0.005    0.000 {issubclass}
        2    0.000    0.000    0.000    0.000 {PIL._imaging.new}
        5    0.000    0.000    0.001    0.000 sre_compile.py:178(_compile_charset)
        5    0.000    0.000    0.000    0.000 {hasattr}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        6    0.000    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 PpmImagePlugin.py:18(<module>)
        8    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    1.789    0.894 threading.py:235(wait)
        1    0.000    0.000    0.000    0.000 {zip}
       18    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       10    0.000    0.000    0.001    0.000 Image.py:2114(register_extension)
        4    0.000    0.000    0.000    0.000 encoders.py:217(_close_output)
       23    0.000    0.000    0.000    0.000 string.py:229(upper)
